run_label,model,max_tokens,mode,seeds,final_best,auc,simple_regret,top10_hit,interventions,bad_interventions,rejected_good_challengers,active_rounds,llm_calls,parse_errors,note
old_prompt_gpt5.5,openai/gpt-5.5,700,no_care_random,5,79.4526,77.7930,,0.0000,0.0000,0.0000,,,0.0000,0.0000,previous gpt-5.5 proposer baseline from 2026-07-06; direct LLM weights
old_prompt_gpt5.5,openai/gpt-5.5,700,incumbent,5,85.7591,80.4911,,0.0000,0.0000,0.0000,,,0.0000,0.0000,previous gpt-5.5 proposer baseline from 2026-07-06; direct LLM weights
old_prompt_gpt5.5,openai/gpt-5.5,700,transfer_gate_v1,5,91.5394,81.1316,,0.2000,4.0000,0.4000,,,0.0000,0.0000,previous gpt-5.5 proposer baseline from 2026-07-06; direct LLM weights
old_prompt_gpt5.5,openai/gpt-5.5,700,llm_transfer_gate_v1,5,87.1667,80.5335,,0.0000,2.8000,1.0000,,,7.0000,0.4000,previous gpt-5.5 proposer baseline from 2026-07-06; direct LLM weights
old_prompt_gpt5.5,openai/gpt-5.5,700,llm_audit_transfer_gate_v1,5,84.4245,80.4021,,0.0000,0.8000,0.2000,,,3.0000,0.0000,previous gpt-5.5 proposer baseline from 2026-07-06; direct LLM weights
v2_long_prompt,openai/gpt-5.5,700,no_care_random,5,79.4526,77.7930,20.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,longer domain/glossary-style prompt; direction consistency parser guard
v2_long_prompt,openai/gpt-5.5,700,incumbent,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,longer domain/glossary-style prompt; direction consistency parser guard
v2_long_prompt,openai/gpt-5.5,700,transfer_gate_v1,5,91.5394,81.1316,8.4606,0.2000,4.0000,0.4000,0.0000,7.0000,0.0000,0.0000,longer domain/glossary-style prompt; direction consistency parser guard
v2_long_prompt,openai/gpt-5.5,700,llm_transfer_gate_v1,5,84.4245,80.5090,15.5755,0.0000,2.2000,0.8000,0.0000,4.2000,7.0000,2.8000,longer domain/glossary-style prompt; direction consistency parser guard
v2_long_prompt,openai/gpt-5.5,700,llm_audit_transfer_gate_v1,5,85.7591,80.6690,14.2409,0.0000,0.4000,0.0000,2.0000,7.0000,2.8000,0.0000,longer domain/glossary-style prompt; direction consistency parser guard
