model,mode,seeds,final_best,auc,top10_hit,interventions,bad_interventions,llm_calls,parse_errors
openai/gpt-4o-mini first5,no_care_random,5,79.4526,77.7930,0.0000,0.0000,0.0000,0.0000,0.0000
openai/gpt-4o-mini first5,incumbent,5,85.7591,80.4911,0.0000,0.0000,0.0000,0.0000,0.0000
openai/gpt-4o-mini first5,transfer_gate_v1,5,91.5394,81.1316,0.2000,4.0000,0.4000,0.0000,0.0000
openai/gpt-4o-mini first5,llm_transfer_gate_v1,5,86.0649,80.9313,0.0000,5.0000,2.0000,7.0000,0.0000
openai/gpt-4o-mini first5,llm_audit_transfer_gate_v1,5,85.7591,80.3576,0.0000,0.2000,0.2000,3.0000,0.0000
openai/gpt-5.5,no_care_random,5,79.4526,77.7930,0.0000,0.0000,0.0000,0.0000,0.0000
openai/gpt-5.5,incumbent,5,85.7591,80.4911,0.0000,0.0000,0.0000,0.0000,0.0000
openai/gpt-5.5,transfer_gate_v1,5,91.5394,81.1316,0.2000,4.0000,0.4000,0.0000,0.0000
openai/gpt-5.5,llm_transfer_gate_v1,5,87.1667,80.5335,0.0000,2.8000,1.0000,7.0000,0.4000
openai/gpt-5.5,llm_audit_transfer_gate_v1,5,84.4245,80.4021,0.0000,0.8000,0.2000,3.0000,0.0000
deepseek/deepseek-v3.2,no_care_random,5,79.4526,77.7930,0.0000,0.0000,0.0000,0.0000,0.0000
deepseek/deepseek-v3.2,incumbent,5,85.7591,80.4911,0.0000,0.0000,0.0000,0.0000,0.0000
deepseek/deepseek-v3.2,transfer_gate_v1,5,91.5394,81.1316,0.2000,4.0000,0.4000,0.0000,0.0000
deepseek/deepseek-v3.2,llm_transfer_gate_v1,5,85.7591,80.4911,0.0000,0.0000,0.0000,7.0000,3.8000
deepseek/deepseek-v3.2,llm_audit_transfer_gate_v1,5,85.7591,80.4911,0.0000,0.0000,0.0000,2.8000,1.2000
