mode,seed,round_index,observed_count,selected_by,gate_authorized,gate_reason,revealed_value,best_so_far,transfer_active,open_policy,scored_candidates,positive_adjustments,negative_adjustments,max_abs_adjustment,applied_specs,rejected_specs,llm_called,llm_open_policy,llm_decision,llm_approved,llm_confidence,llm_parse_error
incumbent,0,0,5,incumbent,False,baseline_incumbent_only,27.3101,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,1,6,incumbent,False,baseline_incumbent_only,46.6325,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,2,7,incumbent,False,baseline_incumbent_only,46.0142,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,3,8,incumbent,False,baseline_incumbent_only,34.8063,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,4,9,incumbent,False,baseline_incumbent_only,40.2711,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,5,10,incumbent,False,baseline_incumbent_only,14.8669,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,6,11,incumbent,False,baseline_incumbent_only,26.6781,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,7,12,incumbent,False,baseline_incumbent_only,38.9505,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,8,13,incumbent,False,baseline_incumbent_only,64.8842,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,0,9,14,incumbent,False,baseline_incumbent_only,24.0134,70.6299,,,0,0,0,0,0,0,,,,,,False
incumbent,1,0,5,incumbent,False,baseline_incumbent_only,52.5994,74.0607,,,0,0,0,0,0,0,,,,,,False
incumbent,1,1,6,incumbent,False,baseline_incumbent_only,60.5287,74.0607,,,0,0,0,0,0,0,,,,,,False
incumbent,1,2,7,incumbent,False,baseline_incumbent_only,13.791,74.0607,,,0,0,0,0,0,0,,,,,,False
incumbent,1,3,8,incumbent,False,baseline_incumbent_only,45.7793,74.0607,,,0,0,0,0,0,0,,,,,,False
incumbent,1,4,9,incumbent,False,baseline_incumbent_only,85.2207,85.2207,,,0,0,0,0,0,0,,,,,,False
