dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,split,selected_source_mode
real_matbench_phonons,gp_ucb,30000,88.0396,73.1971,3.054,1,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30000,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30000,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30000,90.9396,88.3296,0.154,1,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30000,88.0396,73.1971,3.054,1,calibration,
real_matbench_phonons,target_acquisition_portfolio,30000,88.0396,73.1971,3.054,1,calibration,
real_matbench_phonons,gp_ucb,30001,48.5896,32.3171,42.504,0,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30001,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30001,52.3646,49.7796,38.729,0,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30001,52.3646,49.7021,38.729,0,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30001,48.5896,40.6371,42.504,0,calibration,
real_matbench_phonons,target_acquisition_portfolio,30001,38.5646,32.6596,52.529,0,calibration,
real_matbench_phonons,gp_ucb,30002,88.0396,72.7121,3.054,1,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30002,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30002,52.4396,47.0496,38.654,0,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30002,88.0396,48.3221,3.054,1,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30002,88.0396,72.7121,3.054,1,calibration,
real_matbench_phonons,target_acquisition_portfolio,30002,88.0396,72.7121,3.054,1,calibration,
real_matbench_phonons,gp_ucb,30003,48.5896,33.3721,42.504,0,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30003,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30003,88.0396,60.9921,3.054,1,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30003,83.4396,51.8846,7.654,1,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30003,47.1646,34.1846,43.929,0,calibration,
real_matbench_phonons,target_acquisition_portfolio,30003,48.5896,33.1771,42.504,0,calibration,
real_matbench_phonons,gp_ucb,30004,53.2896,53.1246,37.804,0,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30004,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30004,52.7396,52.7396,38.354,0,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30004,53.2896,53.0696,37.804,0,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30004,52.7396,52.7396,38.354,0,calibration,
real_matbench_phonons,target_acquisition_portfolio,30004,52.7396,52.7396,38.354,0,calibration,
real_matbench_phonons,gp_ucb,30005,88.0396,77.7521,3.054,1,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30005,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30005,88.0396,82.4321,3.054,1,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30005,90.7146,87.4571,0.379,1,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30005,88.0396,78.2121,3.054,1,calibration,
real_matbench_phonons,target_acquisition_portfolio,30005,88.0396,78.2121,3.054,1,calibration,
real_matbench_phonons,gp_ucb,30006,88.0396,61.1696,3.054,1,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30006,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30006,88.0396,85.7271,3.054,1,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30006,88.0396,85.7321,3.054,1,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30006,91.0936,77.2183,0.0,1,calibration,
real_matbench_phonons,target_acquisition_portfolio,30006,88.0396,61.1696,3.054,1,calibration,
real_matbench_phonons,gp_ucb,30007,48.5896,37.7936,42.504,0,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30007,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30007,53.7896,51.4196,37.304,0,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30007,52.3646,50.0996,38.729,0,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30007,48.5896,43.3096,42.504,0,calibration,
real_matbench_phonons,target_acquisition_portfolio,30007,52.3646,44.4421,38.729,0,calibration,
real_matbench_phonons,gp_ucb,30008,63.8146,63.7996,27.279,0,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30008,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30008,63.7896,63.7896,27.304,0,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30008,90.7146,87.8421,0.379,1,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30008,63.7896,63.7896,27.304,0,calibration,
real_matbench_phonons,target_acquisition_portfolio,30008,63.7896,63.7896,27.304,0,calibration,
real_matbench_phonons,gp_ucb,30009,38.2896,37.9021,52.804,0,calibration,
real_matbench_phonons,llambo_warmstart_maximize_light_nonmetal_phonon_response_noprior,30009,88.0396,88.0396,3.054,1,calibration,
real_matbench_phonons,llm_direct_prior_maximize_light_nonmetal_phonon_response_noprior,30009,52.4396,48.7196,38.654,0,calibration,
real_matbench_phonons,llm_semantic_maximize_light_nonmetal_phonon_response_noprior,30009,52.3646,45.4821,38.729,0,calibration,
real_matbench_phonons,mixed_kernel_gp_ei,30009,46.6896,39.5821,44.404,0,calibration,
real_matbench_phonons,target_acquisition_portfolio,30009,46.6896,38.7421,44.404,0,calibration,
